ISCED_97,count,mean,std,median
1.0,1,-2.264562998905853,,-2.264562998905853
2.0,2,0.23113013912914376,0.5603688862581162,0.23113013912914376
3.0,48,-0.7651416894804252,0.6793483654793959,-0.7069764101602303
4.0,12,-0.2913315195439408,0.5335135592066896,-0.12519904715444485
5.0,534,-0.25973814330398814,0.5126044312197263,-0.23771383382175026
6.0,35,0.3965110247091701,0.6349142416325807,0.48947144788409314
7.0,104,0.27783896304341665,0.5150297881988575,0.300538071256377
8.0,204,0.06154839765815987,0.5106986555004163,0.06437749309462296
9.0,332,0.3305743674442431,0.5322672664905705,0.36026504031297835
10.0,36,0.3659104384214942,0.5275271475232853,0.4178013773427366
