Component,Explained_Variance_Ratio,Cumulative_Explained_Variance
PC1,0.38986239746376755,0.38986239746376755
PC2,0.0852312754367774,0.47509367290054494
PC3,0.06384532014241749,0.5389389930429624
PC4,0.059483014772139305,0.5984220078151018
PC5,0.04882337151234838,0.6472453793274502
PC6,0.03904211813156487,0.6862874974590151
PC7,0.037777964440176184,0.7240654618991913
PC8,0.033878098243302665,0.757943560142494
PC9,0.031865919798793475,0.7898094799412875
PC10,0.029005949324693466,0.8188154292659809
PC11,0.028615943842826664,0.8474313731088076
PC12,0.026017109265929535,0.873448482374737
PC13,0.02392893123361698,0.897377413608354
PC14,0.022628334661570142,0.9200057482699241
PC15,0.019596089892207798,0.9396018381621319
PC16,0.01806788198697784,0.9576697201491098
PC17,0.01713621515727459,0.9748059353063844
PC18,0.014645667253441286,0.9894516025598257
PC19,0.01054839744017411,0.9999999999999998
