,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
LPS_RRW_ProblemSolving,0.2888801124849575,-0.1555617498068245,-0.032021156568259726,0.03609667511529886,0.03780749919751074,0.2358144258101544,-0.06509364259197901,0.033033311216047426,-0.13264270419551705,-0.005314108051620416,-0.20368249288670823,0.08678362460231058,-0.1580642412422787,0.12826369343937816,0.2942015184997104,-0.4308657491475299,-0.6296832000340264,0.19588277068315993,-0.11183597247615253
AKT_TRW_SelectiveAttention,-0.16828425626877108,-0.011795504300600564,0.18280541050821386,0.5612100020137725,0.35691131735365555,0.13457110298391606,-0.3922836233588929,-0.06081606504311325,-0.17535247351192068,0.01767707564363442,-0.17782674556316547,-0.16905391060595068,0.1945525467733801,-0.4325234772809927,-0.0144813309453527,-0.054735073358180425,0.023814391463368584,-0.002120243505352268,-0.010937583545632554
Stroop_T3T2_Interference,-0.20940608163826616,0.07602901080844837,-0.04673263952841016,0.1263905828077304,0.3654666127735927,0.2831320867884642,0.6501488536578274,0.10178392826621502,0.1783017532112906,-0.41737745844499285,0.17765651367486301,-0.0012826786921817216,-0.0485377611797945,-0.17642288551763466,0.050917967732524376,-0.042525891489938634,-0.09777955368349266,0.018120109325139067,0.009842793767499882
RWD_5_Punkte_FiguralFluency,0.2603484389259073,-0.031396388791312686,-0.10061649610777124,-0.12649784694319754,0.16658324935446464,0.1904748421526141,0.05361480639585398,-0.213198563452287,-0.35768986713957,-0.33267359913278316,-0.13666240295025894,-0.13042167107470176,0.5793144038324048,0.36804453366687895,-0.009693055679895828,0.0726389875011331,0.11417347267674369,-0.16969623098022282,0.013558618374726586
TMT_ARW_ProcessingSpeed,-0.23793154671546302,0.0915908295076114,0.06730805509886731,0.3451818712857449,0.03271720212126601,0.09036806302277527,-0.3802633983445221,-0.014647464471586406,0.27776063907803167,-0.29545123716955807,0.23362991516453346,0.23422841462637944,-0.09905874939814845,0.6031857170434188,0.07942329475744404,0.045700720693887226,0.0006722699721606841,-0.03566055720722797,0.00803220928603476
TMT_BA_ConceptShifting,-0.23671387981480438,0.0829675149740758,0.0038177987898881183,0.1675066137514574,0.35652490155242655,-0.05786654069858317,0.3217843195589437,-0.05932005420816112,-0.2207963393290875,0.6164416406538183,-0.11340800003951947,-0.09374438673248627,-0.10560164646387946,0.4535013729537152,0.024904962755304787,-0.0042114406419612406,0.04702982940395561,0.02926611404139782,0.023772236235540062
BEN_RRW_FiguralMemory,0.28386780925220917,-0.18664367590340925,0.053078623672895266,0.044298304061471956,0.0764047040932647,0.2468074194388306,0.012266486787557866,0.0454505418213136,-0.05316990463618252,-0.040761279912280096,-0.066392914941442,0.1329565608585078,-0.3645244285178173,0.016987572602000657,0.033678475419254894,-0.40550079392518845,0.6932982634994764,-0.06949520405490439,-0.006156529683292271
CBT_RVW_VisualSpatialWM_fw,0.18675248291134608,-0.31382527838763785,-0.16253351875731878,0.018880324922242713,0.33294622957770786,-0.3523352092623281,0.004882466961027049,-0.1902391401442328,0.6562952026104447,0.004527399365655536,-0.3153437770383136,-0.10925758279761694,0.11909509853765195,0.04190039566828205,0.06955539528902607,-0.021966951065465676,0.043850123184520216,0.05761135269956271,-0.005571236951026264
CBT_RRW_VisualSpatialWM_bw,0.20671824491976856,-0.27548240692286813,-0.12426877853877044,-0.01995085726543304,0.2953985711910535,-0.13406428214448013,-0.1507330075656441,0.5953485612713544,-0.06385829502257549,0.09965465247183623,0.5397340504952155,-0.22297659972624095,0.12305910664527246,0.060513167367743974,-0.07294235449234754,-0.04812713022661723,-0.03623580881397007,-0.011796624259575622,0.014408959353553656
VPT_RW_VisualMemory,0.26098406331523727,-0.2830637987082617,-0.058500645871803016,0.06115225232875061,0.1908724530009898,0.2148987328866313,-0.03420104185448678,-0.0312645883178795,-0.11140402545712311,-0.013473552321188692,-0.1017393384823399,0.1644184990264851,-0.3916932229878287,-0.02189160347065596,-0.1871119573364916,0.7105196317221265,-0.11253006879021397,-0.03364823420471112,-0.048119978432895956
ZNS_AVW_digitspan_fw,0.18043637407622473,-0.048727199036089505,-0.2257207028881458,0.4955396202411525,-0.34042730053423464,-0.27936012324461673,0.17444794430134647,-0.20264854707780824,-0.16359619560627814,-0.20639376088374847,0.11819336850595183,-0.4973746395514297,-0.2541967227045662,0.0721358356796092,-0.03265191208191477,-0.014696964879802888,-0.011744462365264705,0.026816363763048606,0.02134537493335591
ZNS_ARW_digitspan_bw,0.21684726838513035,-0.14490392322475865,-0.10839723313597846,0.43572469522041773,-0.1833800039406544,-0.09667963842187006,0.2428197062901479,-0.06498724664397344,-0.007293099400078732,0.2125769893095416,0.1832649000619891,0.6296179804876395,0.36300250181193044,-0.09361692306506479,-0.06595704454223532,-0.0374396810749987,-0.014447992548945807,-0.04941449603583056,0.005448040383913603
RWT_PB2RW_PhonematicFluency,0.2083295471526956,0.4603791705091174,-0.12445505857567295,0.11811986238740382,0.0770383689649995,-0.183821157917717,-0.00035479758677542844,0.3611102104370302,0.04243377519168957,-0.053216338785722225,-0.3245446006321707,0.07557500595755907,-0.11293125532037354,0.00269082772031508,-0.09788301213542074,-0.0557605148160734,-0.12106815746369202,-0.6232764538333153,0.028760550499614457
RWT_SB2RW_SemanticFluency,0.2298931346001634,0.34377758384505497,-0.020886696526765915,-0.10816662899204942,0.28490522744296914,-0.03794673467276494,-0.10400368898560232,-0.39177480368693784,0.02746012093501892,0.010976199159933458,0.26226905091928493,0.060406183486348894,-0.11079835247528748,-0.0225209978669966,-0.6196451829554784,-0.23802311337590357,-0.1178427143113901,0.16497420953922529,-0.045870692789439345
RWT_PGR2RW_PhonematicFluency_Switch,0.22766062699416373,0.445198280331321,-0.13063886212520057,0.09855523984271973,0.06007185310627971,-0.11959982858909227,-0.01342364668563515,0.2939124854800905,-0.05892315064970125,-0.09957617710674137,-0.17358259186173497,0.10109138726184647,0.06649191590650468,0.015609623855504377,0.15747263189944588,0.19036974626038705,0.20682333887823295,0.6756137097680208,-0.006432060318970858
RWT_SSF2RW_SemanticFluency_Switch,0.2520065362189868,0.2761672184733812,-0.007598960068185689,-0.07341339909216704,0.1943647614695311,-0.046710167445945854,-0.07591413912781628,-0.3421195874917688,-0.0007958746823289206,0.13059052232537896,0.3878470860630106,-0.004740426225419577,-0.07911407593951104,-0.1651188616300596,0.6525561248481944,0.14237920886233277,0.034077792768194407,-0.20763425943161404,-0.024669592771745356
AWST03P_Vocabulary,0.20791545595243346,0.188858423752359,-0.11616612893011287,0.12619128114985512,-0.24759346874727814,0.6260689398950525,0.0010251346587289024,0.058346509328765894,0.4168137049769404,0.34197375446824557,0.03281329741205821,-0.3188086367546875,0.16261105813082588,0.03381992870699729,-0.08171371927977493,0.0777136178681271,0.016288307346355224,-0.009927685585321614,-0.030866128768839367
BKW_1_5_VerbalMemory,0.25113314219954386,0.003633549152047664,0.5736317462521039,0.04076274942256895,-0.012884132131422671,-0.028073811218452788,0.09674400155183964,0.019528006093026736,0.0656685857433928,-0.009925042320985131,0.00162736004043193,-0.053458032117900796,0.005007720451718503,0.05461455948515369,-0.00818039514602263,0.034290500139984186,-0.0919928816821716,0.04609929067024193,0.7572313892934454
BKW_RWfv,0.20045855020494027,0.02511762413222899,0.6799319090153241,0.06589611192875966,-0.04272579596500066,-0.13137157020831847,0.16906936128747196,0.0748014154615609,0.07136184778205082,-0.03071885389822006,0.019730346778357007,-0.09466158902899928,0.06361258401621579,0.08995366999476809,-0.031437063047768894,0.07064071871959572,0.002372176397876829,-0.017651851503643474,-0.6367511203676829
