,PC1,PC2,PC3,FC_mean,FC_std,FC_abs_mean,FC_mean_strength,SC_mean,SC_std,SC_abs_mean,SC_mean_strength,Age,Age_ses-1,ISCED_97,ISCED_ses-1
PC1,1.0,0.01215549737360341,0.007615401423381633,0.09518963216453447,0.046768833830866365,0.050741618228289424,0.09518963199626211,0.3047095413448657,-0.2507001856251164,0.3061301472641203,0.30470954134486367,-0.6183010853370597,-0.6058346388000377,0.44472704185054124,0.4283738888457302
PC2,0.01215549737360341,1.0,-0.010423087031744686,-0.03590916650365562,-0.06942934353984383,-0.06033063482575661,-0.035909166497831796,-0.0232848377785054,0.0494352688073848,-0.02277196469299734,-0.023284837778504437,0.2599016049961759,0.25608920343487834,0.0388573464921976,0.03324906236863819
PC3,0.007615401423381633,-0.010423087031744686,1.0,-0.060738195662582824,0.029990190092498287,0.023394778928197434,-0.06073819546135782,0.14989987797160026,-0.15925729469334318,0.14994508442460935,0.1498998779716,-0.20223522121634374,-0.20661757994927782,-0.09408182277657574,-0.10215379076764435
FC_mean,0.09518963216453447,-0.03590916650365562,-0.060738195662582824,1.0,0.042707199562512246,0.24573406623919297,1.0,-0.03048707692954216,0.012147668124213497,-0.030166901907296872,-0.030487076929544013,-0.047263762207298436,-0.04135654570226542,0.1420884387258141,0.14468215226140002
FC_std,0.046768833830866365,-0.06942934353984383,0.029990190092498287,0.042707199562512246,1.0,0.9668962246577202,0.04270719962409146,0.07987367636395212,-0.04247708359242092,0.07936519724416008,0.07987367636395222,-0.07830113152259792,-0.0764919000899065,-0.007426878555541425,-0.011404514589586025
FC_abs_mean,0.050741618228289424,-0.06033063482575661,0.023394778928197434,0.24573406623919297,0.9668962246577202,1.0,0.24573406629825198,0.06500469732483433,-0.03426496522682001,0.0643999325910903,0.06500469732483433,-0.0707103140110531,-0.06934571431868858,0.014538916129564323,0.012081958124683045
FC_mean_strength,0.09518963199626211,-0.035909166497831796,-0.06073819546135782,1.0,0.04270719962409146,0.24573406629825198,1.0,-0.03048707710184822,0.012147668233680534,-0.030166902076469156,-0.030487077101850047,-0.04726376224604287,-0.04135654565480717,0.14208843857239753,0.14468215198615947
SC_mean,0.3047095413448657,-0.0232848377785054,0.14989987797160026,-0.03048707692954216,0.07987367636395212,0.06500469732483433,-0.03048707710184822,1.0,-0.7888304841429629,0.9997541089898401,0.9999999999999997,-0.3315695536011102,-0.32769748502994855,0.07441729538443431,0.06544332895781528
SC_std,-0.2507001856251164,0.0494352688073848,-0.15925729469334318,0.012147668124213497,-0.04247708359242092,-0.03426496522682001,0.012147668233680534,-0.7888304841429629,1.0,-0.780236548720068,-0.788830484142963,0.28035723524232575,0.276448481880631,-0.07676216285828844,-0.06592080366044448
SC_abs_mean,0.3061301472641203,-0.02277196469299734,0.14994508442460935,-0.030166901907296872,0.07936519724416008,0.0643999325910903,-0.030166902076469156,0.9997541089898401,-0.780236548720068,1.0,0.9997541089898397,-0.33297628342970736,-0.3291237517004802,0.07493380330997486,0.06610220566829493
SC_mean_strength,0.30470954134486367,-0.023284837778504437,0.1498998779716,-0.030487076929544013,0.07987367636395222,0.06500469732483433,-0.030487077101850047,0.9999999999999997,-0.788830484142963,0.9997541089898397,1.0,-0.33156955360110707,-0.32769748502994644,0.07441729538443302,0.06544332895781399
Age,-0.6183010853370597,0.2599016049961759,-0.20223522121634374,-0.047263762207298436,-0.07830113152259792,-0.0707103140110531,-0.04726376224604287,-0.3315695536011102,0.28035723524232575,-0.33297628342970736,-0.33156955360110707,1.0,0.9847171736503441,-0.25717416060084447,-0.23827000017600042
Age_ses-1,-0.6058346388000377,0.25608920343487834,-0.20661757994927782,-0.04135654570226542,-0.0764919000899065,-0.06934571431868858,-0.04135654565480717,-0.32769748502994855,0.276448481880631,-0.3291237517004802,-0.32769748502994644,0.9847171736503441,1.0,-0.24391003183606144,-0.24682519343125148
ISCED_97,0.44472704185054124,0.0388573464921976,-0.09408182277657574,0.1420884387258141,-0.007426878555541425,0.014538916129564323,0.14208843857239753,0.07441729538443431,-0.07676216285828844,0.07493380330997486,0.07441729538443302,-0.25717416060084447,-0.24391003183606144,1.0,0.9741455599943436
ISCED_ses-1,0.4283738888457302,0.03324906236863819,-0.10215379076764435,0.14468215226140002,-0.011404514589586025,0.012081958124683045,0.14468215198615947,0.06544332895781528,-0.06592080366044448,0.06610220566829493,0.06544332895781399,-0.23827000017600042,-0.24682519343125148,0.9741455599943436,1.0
