sorted_position,original_node_index,consensus_module
0,0,0
1,31,0
2,30,0
3,42,0
4,37,0
5,38,0
6,39,0
7,32,0
8,50,0
9,41,0
10,44,0
11,94,0
12,92,0
13,91,0
14,78,0
15,79,0
16,82,0
17,93,0
18,90,0
19,52,1
20,54,1
21,55,1
22,57,1
23,56,1
24,8,1
25,51,1
26,53,1
27,1,1
28,4,1
29,5,1
30,2,1
31,3,1
32,6,1
33,15,1
34,7,1
35,59,2
36,63,2
37,25,2
38,28,2
39,29,2
40,62,2
41,61,2
42,58,2
43,23,2
44,18,2
45,16,2
46,13,2
47,60,2
48,70,2
49,67,2
50,72,2
51,73,2
52,65,2
53,64,2
54,74,2
55,75,2
56,20,2
57,22,2
58,24,2
59,14,2
60,11,2
61,12,2
62,10,2
63,9,2
64,76,2
65,77,2
66,71,3
67,68,3
68,84,3
69,69,3
70,83,3
71,80,3
72,87,3
73,21,3
74,33,3
75,34,3
76,27,3
77,17,3
78,26,3
79,19,4
80,48,4
81,49,4
82,36,4
83,40,4
84,43,4
85,45,4
86,46,4
87,47,4
88,35,4
89,66,4
90,81,4
91,85,4
92,86,4
93,89,4
94,88,4
95,95,4
96,96,4
97,97,4
98,98,4
99,99,4
