node_index,consensus_module
0,6
1,6
2,6
3,6
4,6
5,6
6,6
7,6
8,6
9,1
10,1
11,1
12,1
13,1
14,1
15,6
16,1
17,1
18,1
19,2
20,1
21,1
22,1
23,1
24,1
25,1
26,5
27,5
28,2
29,2
30,5
31,6
32,6
33,1
34,5
35,6
36,2
37,6
38,1
39,1
40,1
41,5
42,5
43,5
44,5
45,5
46,1
47,1
48,6
49,2
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,3
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,4
77,4
78,5
79,3
80,0
81,0
82,5
83,5
84,5
85,0
86,4
87,5
88,3
89,0
90,3
91,3
92,3
93,5
94,5
95,5
96,5
97,5
98,3
99,4
