sorted_position,original_node_index,consensus_module_no_threshold
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,15,0
10,31,0
11,32,0
12,48,0
13,37,0
14,35,0
15,10,1
16,14,1
17,16,1
18,18,1
19,17,1
20,22,1
21,21,1
22,23,1
23,20,1
24,25,1
25,24,1
26,38,1
27,39,1
28,11,1
29,12,1
30,13,1
31,9,1
32,46,1
33,40,1
34,47,1
35,33,1
36,28,2
37,19,2
38,49,2
39,29,2
40,36,2
41,30,3
42,26,3
43,27,3
44,43,3
45,42,3
46,34,3
47,41,3
48,44,3
49,45,3
50,99,3
51,97,3
52,96,3
53,93,3
54,95,3
55,94,3
56,83,3
57,82,3
58,86,3
59,84,3
60,87,3
61,77,3
62,76,3
63,78,3
64,98,4
65,92,4
66,91,4
67,90,4
68,51,4
69,50,4
70,57,4
71,56,4
72,55,4
73,54,4
74,53,4
75,52,4
76,88,4
77,79,4
78,59,5
79,58,5
80,63,5
81,62,5
82,61,5
83,60,5
84,72,5
85,73,5
86,74,5
87,75,5
88,67,5
89,66,5
90,65,5
91,64,5
92,68,5
93,69,5
94,70,5
95,71,5
96,89,5
97,81,5
98,80,5
99,85,5
