k,phi_obs,phi_rand_mean,phi_norm,n_nodes_degree_gt_k
0,0.1498989898989899,0.14989898989898992,0.9999999999999998,100
1,0.1498989898989899,0.14989898989898992,0.9999999999999998,100
2,0.1498989898989899,0.14989898989898992,0.9999999999999998,100
3,0.1498989898989899,0.14989898989898992,0.9999999999999998,100
4,0.1498989898989899,0.14989898989898992,0.9999999999999998,100
5,0.15400799495055753,0.15401009888491476,0.9999863389844402,98
6,0.1559278350515464,0.1559407216494845,0.9999173622014712,97
7,0.15946248600223964,0.15950055991041429,0.9997612929497174,95
8,0.1682896379525593,0.16814232209737828,1.0008761378654905,90
9,0.18072289156626506,0.1804055245371731,1.001759186864738,83
10,0.1957894736842105,0.19330526315789473,1.0128512306686996,76
11,0.22172619047619047,0.21936011904761904,1.010786242453022,64
12,0.24545454545454545,0.23977922077922076,1.0236689595407031,56
13,0.2564102564102564,0.25069381598793367,1.0228024787918895,52
14,0.2730496453900709,0.26218971631205673,1.0414201183431953,48
15,0.30641025641025643,0.2855384615384616,1.0730962643678161,40
16,0.31587301587301586,0.2995396825396825,1.0545281119177574,36
17,0.3471264367816092,0.3227586206896551,1.0754985754985757,30
18,0.3695652173913043,0.3495289855072465,1.057323520265367,24
19,0.3904761904761905,0.36542857142857144,1.0685431326557207,21
20,0.4338235294117647,0.3903676470588235,1.1113203993219063,17
21,0.5142857142857142,0.4018095238095239,1.279924152642806,15
22,0.6888888888888889,0.44000000000000006,1.5656565656565655,10
23,0.6666666666666666,0.45,1.4814814814814814,9
24,0.5714285714285714,0.4695238095238096,1.2170385395537522,7
25,0.4666666666666667,0.4846666666666667,0.9628610729023384,6
26,0.5,0.525,0.9523809523809523,5
27,0.3333333333333333,0.5566666666666666,0.5988023952095808,3
